Species	Dicty Gene ID	UniProt ID	Comments
Ga2	DDB_G0276267	P16051	
Gbg	DDB_G0277143	P36408	
ACA	DDB_G0281545	Q03100	
cAR1	DDB_G0273397	P13773	"CAR-A1 on the chr 2 duplication, ok"
cAR1	DDB_G0273533	P13773	CAR-A2
I-Ga2bg	DDB_G0276267	P16051	"this is a complex of Ga2 and Gbg and car1,  link to all 3 for this interaction"
I-Ga2bg	DDB_G0277143	P36408
I-Ga2bg	DDB_G0273397	P13773
I-Ga2bg	DDB_G0273533	P13773
CRAC	DDB_G0285161	P35401	
Pia	DDB_G0277399	O77203	
RasG	DDB_G0293434	P15064	
PI3K1/2	DDB_G0278727	P54673	PI3K1
	DDB_G0283081	P54674	PI3K2
PKB	DDB_G0268620	P54644	
PhdA	DDB_G0285845	O76765	
PI3,4,5P3	NA	NA	"PIP3, Lipid"
PI3,4P2	NA	NA	Lipid
PTEN	DDB_G0286557	Q8T9S7	
cAMPi	NA	NA	"intracellular cAMP? Yes, Metabolite"
PKA	DDB_G0283907	P34099	"PKA-C: not sure what PKA refers to, specifically Dd Protein Kinase A consits of a catalytic and a regulatory subunit, these are the two correct proteins, this is also a complex with just two subunits"
	DDB_G0279413	P05987	"PKA-R: not sure what PKA refers to, specifically"
PAKa	DDB_G0269166	Q55D99	
MHCK A	DDB_G0291231	P42527	
MHC	DDB_G0286355	P08799	
PLC	DDB_G0292736	Q02158	
DAG	NA	NA	Lipid
IP3	NA	NA	Lipid
IP3R	DDB_G0292564	Q9NA13 	gene iplA
Ca++	NA	NA	inorganic ion
sGC	DDB_G0276269	Q551V8	
GCA	DDB_G0275009	Q553Y7	" was wrong mapping, to pakA"
cGMP	NA	NA	Metabolite
Pds1	DDB_G0285995	P12019	same as pdsA? Yes
GbpA	DDB_G0277143	P36408	
GbpC	DDB_G0291079	Q8MVR1	
GbpD	DDB_G0282373	Q54S40	
RegA	DDB_G0284331	Q23917	
MLCK-A	DDB_G0279925	P25323	
RLC	DDB_G0276077	P13833	
PA	NA	NA	Lipid
DGKA	DDB_G0277223	P34125	
Ale	DDB_G0284329	Q54PQ4	"AleA, rasGEFA"
RasC	DDB_G0293526	P34149	
RIP3	DDB_G0284611	Q9Y0C9	
ERK2	DDB_G0283903	Q54QB1	
PI4,5P2	NA	NA	Lipd
MHCK B	DDB_G0289115	P90648	
MHCK C	DDB_G0290687	Q8MY12	
MHCK D	DDB_G0282489	Q54SF9	
Myo II			"complex of two myosin II heavy chains (MHCs), two regulatory light chains (RLCs), and two essential light chains (ELCs)"
Arp2/3	DDB_G0272106	O96621	
	DDB_G0283755	P42528	
SCAR	DDB_G0285253	Q54NF8	
actin	"many, see wiki"	"P07830, Q54GX7, Q553U6, P07829"	"these are 4 UniProt Ids, one maps to 17 identical actins and the other 3 are very similar, and we made the decision that we annotate to these when actin needs annotation, see also http://wiki.dictybase.org/dictywiki/index.php/Special_Cases"
cAMPe	NA	NA	extracellular cAMP? Metabolite
VASP	 DDB_G0289541	Q5TJ65	
ERK1	DDB_G0286353	P42525	
MEK1	DDB_G0269152	Q55CL6	
TorA	DDB_G0276353	Q8T133	
GbpB	DDB_G0276027	Q8MM62	same as pdeE
PDE3	DDB_G0268634	B0G0Y8	
PIR121	DDB_G0287855	Q6UK63	
Nap125	DDB_G0274519	Q869Q3	
HSPC300	DDB_G0279175	Q54X65	
Abi2	DDB_G0267956	Q55FT9	
Ga9	DDB_G0283419	Q54R41	
I-Ga9bg			"this is a complex of Ga9 and Gbg and car1,  link to all 3 for this interaction"
ELC	DDB_G0277859	P09402	
